Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,DEU,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,10495060000,10564960000,13172000000,18804000000,14821250000,14148550000,13701440000,14795290000,30886260000,26907560000,85608420000,1.51831E+11,4.24407E+11,3.45321E+11,3.48053E+11,5.42482E+11,4.37577E+11,4.30084E+11,5.29577E+11,6.03703E+11,5.80135E+11,1.4981E+11,9.88221E+11,1.46873E+12,1.30849E+12,1.82724E+12,1.30105E+12,8.71757E+11,1.01728E+12,1.1813E+12,1.28807E+12,1.95084E+12,3.25484E+12,4.18964E+12,1.78779E+12,1.49466E+12,1.5736E+12,1.24995E+12,1.31261E+12,1.26907E+12,1.44461E+12,1.12411E+12,1.5586E+12,1.61615E+12,1.35033E+12,1.81409E+12,,
Djibouti,DJI,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,54000000,65000000,49000000,62000000,62890000,54560000,56930000,55820000,168030000,159420000,1505520000,2055870000,2145550000,5000290000,13998180000,11894040000,10036490000,15204790000,20028360000,25793870000,26206400000,33809000000,43861170000,67133470000,55562340000,89909810000,66026060000,32507890000,43877390000,68190070000,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56912E+11,1.86872E+11,2.25613E+11,3.98008E+11,4.73647E+11,3.57049E+11,,8.44702E+11,5.27516E+11,4.19749E+11,5.53471E+11,7.0774E+11,5.6006E+11,1.37465E+12,6.69204E+12,4.19187E+12,8.17167E+12,8.75255E+12,7.16401E+12,5.51732E+12,8.34547E+12,1.25755E+13,3.9846E+13,1.88717E+13,1.78709E+13,1.37792E+13,1.89029E+13,3.25313E+13,,
Early-demographic dividend,EAR,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17792E+11,2.53394E+11,2.19563E+11,2.7751E+11,8.93986E+11,4.76311E+11,4.05225E+11,6.55959E+11,1.34342E+12,2.19794E+12,2.84217E+12,2.89431E+12,2.44552E+12,2.30326E+12,2.37533E+12,1.98306E+12,2.0889E+12,1.97155E+12,2.33E+12,2.14145E+12,2.14352E+12,2.58361E+12,2.54758E+12,2.53791E+12,4.44469E+12,,
East Asia & Pacific,EAS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,61867610000,94157480000,1.04638E+11,1.95325E+11,1.73104E+11,2.05587E+11,2.88876E+11,1.93817E+11,3.12817E+11,3.57912E+11,4.9038E+11,1.24359E+12,2.29757E+12,2.99536E+12,3.82833E+12,2.45419E+12,1.62742E+12,1.19299E+12,1.90632E+12,2.58044E+12,2.19237E+12,2.61605E+12,3.51303E+12,2.914E+12,4.39355E+12,5.43555E+12,3.68642E+12,3.97005E+12,4.78876E+12,6.61888E+12,7.91901E+12,1.09086E+13,2.02509E+13,1.51435E+13,1.73238E+13,1.87183E+13,1.72181E+13,1.3446E+13,1.88116E+13,2.18925E+13,5.10143E+13,2.87744E+13,2.97389E+13,2.69578E+13,2.9768E+13,5.02986E+13,,
Europe & Central Asia (excluding high income),ECA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94041790000,1.1595E+11,1.78967E+11,2.67168E+11,3.50114E+11,8.15059E+11,1.62106E+12,1.38257E+12,8.28543E+11,9.14201E+11,9.17812E+11,7.01636E+11,6.11671E+11,5.30695E+11,4.69701E+11,4.22159E+11,5.23645E+11,5.18278E+11,5.28882E+11,1.1458E+12,,
Europe & Central Asia,ECS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,92212070000,91831930000,81871110000,1.06237E+11,1.31853E+11,1.55872E+11,1.50525E+11,69768350000,2.35083E+11,2.43005E+11,4.49781E+11,5.67381E+11,1.5343E+12,1.22781E+12,1.40979E+12,1.62013E+12,1.15492E+12,1.1368E+12,1.58507E+12,2.01048E+12,2.16041E+12,2.11704E+12,3.83709E+12,5.73965E+12,6.75126E+12,9.75679E+12,8.15336E+12,5.62919E+12,6.47065E+12,7.73613E+12,7.79754E+12,1.2021E+13,2.02543E+13,1.70656E+13,1.08387E+13,1.10389E+13,1.06842E+13,8.54009E+12,7.98061E+12,9.99638E+12,,,,,,,,
