Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominica,DMA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.133417646,0.145818729,0.098424528,0.102712042,0.089375243,0.07670729,0.092003897,0.092397569,0.277072477,0.269722293,2.402736036,2.334126863,1.960938899,4.327275482,12.45287507,8.603452813,7.20884355,9.943252737,13.98671204,16.51733848,14.16509472,18.01874818,25.274729,37.93024242,31.22090366,54.77004179,40.0664373,18.19792326,20.11838056,27.12704594,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16142231,18.04591587,17.6364434,27.08170531,31.12733644,25.78266615,,50.2737538,29.38919318,21.10698422,24.61938258,27.12940375,18.56367239,37.79480061,145.3350426,70.81837474,127.3073783,112.0938859,75.10956823,52.92913731,71.18145487,99.28545651,302.0354285,140.0361037,121.2889001,83.71485617,111.0665521,188.117476,,
Early-demographic dividend,EAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31194227,12.29366345,10.80708868,13.02477427,31.92939181,15.98680289,14.74072425,22.22932316,37.0190984,52.40717616,58.29541604,50.17781176,38.4509532,37.76180416,31.90855342,23.28374927,23.74776799,22.06576055,25.60392455,25.22124261,24.49107468,27.19785283,26.77614937,25.76381572,48.12338144,,
East Asia & Pacific,EAS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,9.663604744,13.13544953,12.1229514,16.66004619,13.19810604,13.51210661,17.41737843,12.09578689,18.22979782,19.56715717,25.52063325,46.18120242,70.56426304,75.6729639,93.10711284,57.26717914,33.42996108,22.45092714,28.28620487,35.14715007,26.30321812,32.60598044,45.82422416,42.49661792,66.88047561,65.55210391,47.81794604,50.71918308,55.66521481,68.62728143,77.05430305,100.2573614,166.6935045,107.4672797,119.4625598,110.6342807,88.59303174,64.79522031,88.85294973,100.1532067,234.1692233,127.5514395,123.4143267,102.8319851,111.2908927,189.4683039,,
Europe & Central Asia (excluding high income),ECA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.56151873,18.0079936,21.84111722,24.3914511,25.27884339,48.08962867,74.45769446,51.66650397,39.74913135,34.01217361,27.33040908,19.59261917,16.3843877,15.46354839,18.35005541,17.40985598,18.92594831,18.46664585,18.09405367,45.53635512,,
Europe & Central Asia,ECS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,3.430681447,2.667914926,2.367977352,2.49067512,2.007421623,4.115284643,4.493355616,2.200143554,7.360687973,7.921426757,14.19349437,13.06197771,28.5608076,20.49676331,23.11340387,21.3746647,14.25173586,12.91477313,19.2604104,23.15500343,21.13552041,20.27200756,38.72854881,55.61022932,65.5411192,101.3543119,81.77920417,51.17819385,48.32599631,49.60629927,49.9193567,71.20962859,102.8789592,78.99065098,56.90559365,56.46045092,49.35206964,40.99284587,36.81937395,45.45691533,,,,,,,,
Ecuador,ECU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31397695,0.460445021,0.278279972,0.22086458,0.033593148,0.093152181,0.099848509,0.0196172,0.046236385,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02050793,47.16259905,58.85502401,39.32088157,16.99460086,6.736544782,6.124102227,4.415257982,8.652283127,4.481359385,3.032159899,5.809573143,5.513420329,3.503414553,4.189768755,,
